"simplified";"traditional";"pinyin";"description"
"菠萝包";"菠蘿包";"bo1 lo4 baau1";"源自香港的一种甜面包，因表皮金黄呈凹凸状似菠萝得名"
"菠萝盖";"菠蘿蓋";"bo1 lo4 goi3";"膝盖"
"菠萝桥";"菠蘿橋";"bo1 lo4 kiu4";"位于钦州市南郊尖山镇的一座旧桥，又称“孟埇桥”，亦泛指其周边一带区域"
"簸箕粉";"簸箕粉";"bo3 gi1 fan2";"钦州灵山县的一种米粉小吃"
"剥皮鱼";"剝皮魚";"bok3 pi4 nji4";"官话马面鲀，鲀形目单棘鲀科一属，亦混称类似的其他属。暖水性近底层鱼，长椭圆形，侧扁，吻部突出，有棘，皮质韧。南海北部多为黄鳍马面鲀（Navodon tessellate）。因作食材前须剥皮而得名。（图 Thamnaconus modestus，自：https://commons.wikimedia.org/wiki/File:Thamnaconus_modestus_by_OpenCage.jpg）"
"搏错";"搏錯";"bok3 co3";"趁乱，碰巧：又畀你～赢了一盘。"
"搏气";"搏氣";"bok3 hi3";"找气受：跟你讲话真系~哦。"
"搏一搏，单车变摩托";"搏一搏，單車變摩托";"bok3 jat1 bok3,daan1 ce1 bin3 mo1 tok3";"抱着侥幸的心理承担风险去获取更大的回报"
"搏赖";"搏賴";"bok3 laai4";"耍赖"
"搏命";"搏命";"bok3 meng4";"拼命：佢为了争第一名好~。"
"搏死";"搏死";"bok3 sli2";"不要命的"
"搏懵";"搏懵";"bok3 mung2";"趁人不备攫取利益"
"膊头";"膊頭";"bok3 tau4";"肩膀"
"薄𠯦𠯦";"薄𠯦𠯦";"bok4 cet1 cet1";"形容薄而脆的样子：嗰条衫～到。"
"薄刀";"薄刀";"bok4 dau1";"菜刀"
"薄笠";"薄笠";"bok4 lap1";"①泛指秋衣秋裤；②特指秋衣。"
"薄笠裤";"薄笠褲";"bok4 lap1 fu3";"秋裤。"
"薄笠衫";"薄笠衫";"bok4 lap1 saam1";"秋衣。"
"薄鲢";"薄鰱";"bok4 lin4";"鲢鱼（学名：Hypophthalmichthys molitrix）。（图自：https://commons.wikimedia.org/wiki/File:Hypophthalmichthys_molitrix_Hungary.jpg）"
"𠵔𠼖";"𠵔𠼖";"bom4 lom4";"爆炸声或撞击声"
"帮衬";"幫襯";"bong1 can3";"帮捧场，光顾：多谢各位街坊～。"
"帮手";"幫手";"bong1 sau2";"帮忙：～整菜。"
"磅水";"磅水";"bong4 sui2";"给钱，付钱：望咩望！快啲～！"
"哱嘴";"哱嘴";"bot1 zui2";"接吻。"
"补钱";"補錢";"bu2 cin4";"找零钱：昨晚买猪脚粉老板冇记得～畀我了。"
"补鞋";"補鞋";"bu2 haai4";"对破损、脱线的鞋子进行维修加固"
"补雨遮";"補雨遮";"bu2 ji2 ze1";"修补雨伞"
"补衫";"補衫";"bu2 saam1";"对破损、脱线的衣服进行缝补加固"
"补锑煲";"補銻煲";"bu2 tai1 bau1";"修补铝锅。"
"补镬";"補鑊";"bu2 wok4";"补救，弥补：佢成日做错事要我帮佢~。"
"菢蛋";"菢蛋";"bu4 daan4";"孵蛋"
"背脊";"背脊";"bui3 zek3";"身体的背面：我～啲生了粒米粒疮。"
"背脊骨";"背脊骨";"bui3 zek3 gwat1";"椎骨"
"痱子";"痱子";"bui4 zi2";"出汗过多引起汗腺发炎，皮肤表面生出来的小红疹"
"卜坴糖";"卜坴糖";"buk1 luk1 tong4";"棒棒糖"
"朴子";"樸子";"buk4 zi2";"官话柚子（学名：Citrus maxima），芸香科柑橘属一种植物的果实，体大形圆皮厚，熟果皮黄，有特殊香气。（图自：https://commons.wikimedia.org/wiki/File:Pomelo_fruit.jpg）"
"搬砖";"搬磚";"bun1 zin1";"①搬运砖头；②指体力劳动"
"本身";"本身";"bun2 san1";"本来，原本：我～冇想来噶。"
"本土";"本土";"bun2 tu2";"本地，当地。"
"半肥瘦";"半肥瘦";"bun3 fi4 sau3";"肥瘦参半的猪肉：帮攞两斤～。"
"半咸淡";"半鹹淡";"bun3 haam4 taam2";"指说话杂有异语口音"
"半□□";"半□□";"bun3 laang3 kaang3";"见“半岑嵚”(壮语： 
buenqlangxgyang)"
"半捞不白";"半撈不白";"bun3 laau1 bat1 baak4";"白话与普通话相混的口音：而今啲细佬哥讲嘢~，下一代就可能完全冇识讲白话了。"
"半岑嵚";"半岑嶔";"bun3 lam3 kam3";"（做事、说话）未完，才到一半(《广州方言词典》)，亦作“半lang3 kang3”、“半laang3 kaang3”。"
"半□□";"半□□";"bun3 lang3 kang3";"见“半岑嵚”"
"半晚三更";"半晚三更";"bun3 maan2 slaam1 gaang1";"半夜三更"
"半晚";"半晚";"bun3 maan2";"半夜"
"半男半女";"半男半女";"bun3 naam4 bun3 ni2";"不男不女"
"半生熟";"半生熟";"bun3 saang1 suk4";"①（食物）半生不熟：啲鸡肉煮到～噉同点食？②认识一个人不是很久，了解不深"
"半桶水";"半桶水";"bun3 tung2 sui2";"比喻在某些领域一知半解的人：只老师其实都系～。"
"埲密实";"埲密實";"bung4 mat4 sat4";"凑热闹"
"𥹸子";"𥹸子";"but1 zi2";"挑剔之处，麻烦事：佢只人冇识几多～噶。"
"钵仔糕";"缽仔糕";"but3 zai2 gau1";"见“茶杯䊦”。"
"叉仔";"叉仔";"caa1 zai2";"叉子。"
"叉烧粉";"叉燒粉";"caa1 siu1 fan2";"钦州特色小吃，用现烤的叉烧肉配米粉"
"叉巴啦";"叉巴啦";"caa1 baa1 laa1";"插手与自己无关的事，干扰其进程：大人讲话细佬哥冇～！"
"差啲";"差啲";"caa1 dit1";"差点：昨晚～得米咯！"
"差啲啲";"差啲啲";"caa1 dit1 dit1";"差一点"
"差啲仔";"差啲仔";"caa1 di1 zai2";"差一点：～入球"
"差火";"差火";"caa1 fo2";"差劲：架车够～哦！"
"差冇多";"差冇多";"caa1 mau2 do1";"差不多：～到了"
"差天远";"差天遠";"caa1 tin1 jin2";"差得远，相去甚远：北海啲猪脚粉跟钦州嘅～。"
"茶杯䊦";"茶杯䊦";"caa4 bui1 et3";"用小杯子做模，以粘米粉为主料做成的糕点。有甜咸两种口味，以前者为多。又叫“钵仔糕""。"
"茶油";"茶油";"caa4 jau4";"用茶油树的种子榨取的油"
"茶油籽";"茶油籽";"caa4 jau4 zi2";"茶油树的种子"
"茶箍";"茶箍";"caa4 ku1";"由茶树的茶籽榨油后剩下的渣料加碎稻草包裹压制成圆块状，旧时女人洗头用"
"查理";"查理";"caa4 li2";"搭理，理会"
"猜单双";"猜單雙";"caai1 daan1 song1";"猜测未知物体数量或数字是单数或双数的游戏"
"猜码";"猜碼";"caai1 maa2";"一种划拳形式，多用于喝酒时进行游戏奖惩。"
"猜准";"猜準";"caai1 zan2";"言中，预料到：我～佢今晚冇来噶。"
"差佬";"差佬";"caai1 lau2";"警察"
"差馆";"差館";"caai1 gun2";"警察局的俗称"
"踩场";"踩場";"caai2 coeng4";"砸场子，找麻烦：你系来～嘅哇？"
"踩单车";"踩單車";"caai2 daan1 ce1";"骑自行车"
"踩踭";"踩踭";"caai2 zaang1";"穿鞋踩着鞋帮"
"拆场";"拆場";"caak3 coeng4";"砸场子，找麻烦：今日你系冇系来～噶？"
"拆台";"拆臺";"caak3 toi4";"捣乱，搞破坏：互相～对大家都冇有好处。"
"贼佬";"賊佬";"caak4 lau2";"小偷，盗贼，泛指罪犯：警察捉～。"
"贼头";"賊頭";"caak4 tau4";"①犯罪团伙的头目；②惯偷"
"贼仔";"賊仔";"caak4 zai2";"小偷，盗贼"
"杉木";"杉木";"caam2 muk4";"杉树的木"
"蚕虫";"蠶蟲";"caam4 cung4";"蚕的幼虫"
"劖开";"劖開";"caam4 hoi1";"凿开"
"劖死";"劖死";"caam4 sli2";"用铲或钎等锐利的器具刺死"
"镵眼";"鑱眼";"caam4 ngaan2";"刺眼，耀眼：你条金项链亮到～。"
"镵差差";"鑱差差";"caam4 ci1 ci1";"形容毛发、丝线等交错混乱的样子"
